key,status,mAP_50,mAP_50_95,mAP_75,json_validity,n_predictions,n_samples,mean_latency_s,elapsed_s,AP50_Bottle,AP50_Can,AP50_Fishing_Net,AP50_Glove,AP50_Mask,AP50_Metal_Debris,AP50_Plastic_Debris,AP50_Tire
base,ok,0.1066963813912198,0.0,0.0,0.995,168,200,1.8824469149112701,380.5268921852112,0.1323529411764706,0.0,0.1422924901185771,0.2334710743801653,0.09090909090909091,0.0,0.1212121212121212,0.13333333333333333
exp01_synth100,ok,0.13095486888590338,0.0,0.0,1.0,80,50,4.676747288703918,234.538996219635,0.0202020202020202,0.0,0.15584415584415584,0.3272727272727273,0.09090909090909091,0.0,0.39280489625317216,0.0606060606060606
exp02_synth100_real10,fail,,,,,,,,,,,,,,,,
exp03_synth100_real25,fail,,,,,,,,,,,,,,,,
exp04_synth100_real50,fail,,,,,,,,,,,,,,,,
exp05_synth100_real75,fail,,,,,,,,,,,,,,,,
exp06_synth100_real100,fail,,,,,,,,,,,,,,,,
exp07_real100,ok,0.14877333627333628,0.0,0.0,1.0,90,50,5.487753553390503,275.1042711734772,0.022727272727272728,0.0,0.14545454545454545,0.3224553224553225,0.09090909090909091,0.0,0.4177313677313677,0.1909090909090909
exp08_real_synth_minor,fail,,,,,,,,,,,,,,,,
exp09_real_synth_prop,fail,,,,,,,,,,,,,,,,
exp10_real_full,ok,0.3253344779723842,0.0,0.0,0.945,292,200,5.427231508493423,1088.8371641635895,0.3115953813628232,0.0606060606060606,0.4483471074380166,0.46305916305916306,0.3076923076923077,0.0,0.6079442549322367,0.40343154868846565
exp11_real_synth_full,ok,0.2997453201059882,0.0,0.0,0.87,274,200,5.207964581251145,1044.7800540924072,0.23295454545454547,0.2727272727272727,0.5131739228513422,0.37625291375291375,0.27838559290172193,0.0,0.4990321331784747,0.2254361799816345
exp12_vision_lora,ok,0.32563553028045017,0.0,0.0,0.885,298,200,7.185302355289459,1441.0409104824066,0.27181818181818185,0.09090909090909091,0.5750528541226215,0.4983231524733501,0.31853600944510035,0.0,0.4887566417869448,0.3616883116883117
